UTC,Lokalzeit,Lufttemperatur
2021-12-12 00:00:00,2021-12-12 01:00:00,2.620369
2021-12-12 01:00:00,2021-12-12 02:00:00,2.303694
2021-12-12 02:00:00,2021-12-12 03:00:00,1.868576
2021-12-12 03:00:00,2021-12-12 04:00:00,1.263733
2021-12-12 04:00:00,2021-12-12 05:00:00,0.9220652
2021-12-12 05:00:00,2021-12-12 06:00:00,0.625207
2021-12-12 06:00:00,2021-12-12 07:00:00,0.3148167
2021-12-12 07:00:00,2021-12-12 08:00:00,0.2130708
2021-12-12 08:00:00,2021-12-12 09:00:00,0.5021042
2021-12-12 09:00:00,2021-12-12 10:00:00,1.112971
2021-12-12 10:00:00,2021-12-12 11:00:00,2.111103
2021-12-12 11:00:00,2021-12-12 12:00:00,3.296493
2021-12-12 12:00:00,2021-12-12 13:00:00,3.780614
2021-12-12 13:00:00,2021-12-12 14:00:00,4.905004
2021-12-12 14:00:00,2021-12-12 15:00:00,5.751591
2021-12-12 15:00:00,2021-12-12 16:00:00,5.922527
2021-12-12 16:00:00,2021-12-12 17:00:00,5.780716
2021-12-12 17:00:00,2021-12-12 18:00:00,5.315824
2021-12-12 18:00:00,2021-12-12 19:00:00,4.889657
2021-12-12 19:00:00,2021-12-12 20:00:00,4.555451
2021-12-12 20:00:00,2021-12-12 21:00:00,4.524875
2021-12-12 21:00:00,2021-12-12 22:00:00,4.60724
2021-12-12 22:00:00,2021-12-12 23:00:00,4.616951
2021-12-12 23:00:00,2021-12-13 00:00:00,4.793294
2021-12-13 00:00:00,2021-12-13 01:00:00,4.920958
2021-12-13 01:00:00,2021-12-13 02:00:00,5.210452
2021-12-13 02:00:00,2021-12-13 03:00:00,5.111493
2021-12-13 03:00:00,2021-12-13 04:00:00,4.683444
2021-12-13 04:00:00,2021-12-13 05:00:00,3.789137
2021-12-13 05:00:00,2021-12-13 06:00:00,3.350054
2021-12-13 06:00:00,2021-12-13 07:00:00,3.024318
2021-12-13 07:00:00,2021-12-13 08:00:00,2.683729
2021-12-13 08:00:00,2021-12-13 09:00:00,2.923671
2021-12-13 09:00:00,2021-12-13 10:00:00,2.924943
2021-12-13 10:00:00,2021-12-13 11:00:00,3.943239
2021-12-13 11:00:00,2021-12-13 12:00:00,5.793627
2021-12-13 12:00:00,2021-12-13 13:00:00,8.430618
2021-12-13 13:00:00,2021-12-13 14:00:00,9.846099
2021-12-13 14:00:00,2021-12-13 15:00:00,9.891508
2021-12-13 15:00:00,2021-12-13 16:00:00,8.406984
2021-12-13 16:00:00,2021-12-13 17:00:00,7.235691
2021-12-13 17:00:00,2021-12-13 18:00:00,5.736312
2021-12-13 18:00:00,2021-12-13 19:00:00,4.959928
2021-12-13 19:00:00,2021-12-13 20:00:00,4.289629
2021-12-13 20:00:00,2021-12-13 21:00:00,3.657797
2021-12-13 21:00:00,2021-12-13 22:00:00,3.175737
2021-12-13 22:00:00,2021-12-13 23:00:00,2.835404
2021-12-13 23:00:00,2021-12-14 00:00:00,2.977258
2021-12-14 00:00:00,2021-12-14 01:00:00,2.534303
2021-12-14 01:00:00,2021-12-14 02:00:00,2.145208
2021-12-14 02:00:00,2021-12-14 03:00:00,2.239158
2021-12-14 03:00:00,2021-12-14 04:00:00,1.687944
2021-12-14 04:00:00,2021-12-14 05:00:00,1.531975
2021-12-14 05:00:00,2021-12-14 06:00:00,1.234
2021-12-14 06:00:00,2021-12-14 07:00:00,1.649405
2021-12-14 07:00:00,2021-12-14 08:00:00,2.063154
2021-12-14 08:00:00,2021-12-14 09:00:00,2.225342
2021-12-14 09:00:00,2021-12-14 10:00:00,2.559954
2021-12-14 10:00:00,2021-12-14 11:00:00,3.13448
2021-12-14 11:00:00,2021-12-14 12:00:00,4.565532
2021-12-14 12:00:00,2021-12-14 13:00:00,4.027928
2021-12-14 13:00:00,2021-12-14 14:00:00,4.324934
2021-12-14 14:00:00,2021-12-14 15:00:00,4.485476
2021-12-14 15:00:00,2021-12-14 16:00:00,4.697997
2021-12-14 16:00:00,2021-12-14 17:00:00,4.618997
2021-12-14 17:00:00,2021-12-14 18:00:00,4.367371
2021-12-14 18:00:00,2021-12-14 19:00:00,3.989928
2021-12-14 19:00:00,2021-12-14 20:00:00,3.45917
2021-12-14 20:00:00,2021-12-14 21:00:00,3.1696
2021-12-14 21:00:00,2021-12-14 22:00:00,2.988919
2021-12-14 22:00:00,2021-12-14 23:00:00,3.203249
2021-12-14 23:00:00,2021-12-15 00:00:00,3.355405
2021-12-15 00:00:00,2021-12-15 01:00:00,3.413678
2021-12-15 01:00:00,2021-12-15 02:00:00,3.272234
2021-12-15 02:00:00,2021-12-15 03:00:00,3.272382
2021-12-15 03:00:00,2021-12-15 04:00:00,3.153969
2021-12-15 04:00:00,2021-12-15 05:00:00,3.236757
2021-12-15 05:00:00,2021-12-15 06:00:00,3.357379
2021-12-15 06:00:00,2021-12-15 07:00:00,3.431352
2021-12-15 07:00:00,2021-12-15 08:00:00,3.437766
2021-12-15 08:00:00,2021-12-15 09:00:00,3.297994
2021-12-15 09:00:00,2021-12-15 10:00:00,3.210137
2021-12-15 10:00:00,2021-12-15 11:00:00,3.553482
2021-12-15 11:00:00,2021-12-15 12:00:00,3.910635
2021-12-15 12:00:00,2021-12-15 13:00:00,4.063314
2021-12-15 13:00:00,2021-12-15 14:00:00,4.289742
2021-12-15 14:00:00,2021-12-15 15:00:00,4.38196
2021-12-15 15:00:00,2021-12-15 16:00:00,4.428482
2021-12-15 16:00:00,2021-12-15 17:00:00,4.506679
2021-12-15 17:00:00,2021-12-15 18:00:00,4.46974
2021-12-15 18:00:00,2021-12-15 19:00:00,4.376222
2021-12-15 19:00:00,2021-12-15 20:00:00,4.422246
2021-12-15 20:00:00,2021-12-15 21:00:00,4.30433
2021-12-15 21:00:00,2021-12-15 22:00:00,4.141157
2021-12-15 22:00:00,2021-12-15 23:00:00,4.144106
2021-12-15 23:00:00,2021-12-16 00:00:00,4.18836
2021-12-16 00:00:00,2021-12-16 01:00:00,4.018056
2021-12-16 01:00:00,2021-12-16 02:00:00,3.879855
2021-12-16 02:00:00,2021-12-16 03:00:00,3.820657
2021-12-16 03:00:00,2021-12-16 04:00:00,3.574151
2021-12-16 04:00:00,2021-12-16 05:00:00,3.41221
2021-12-16 05:00:00,2021-12-16 06:00:00,3.292232
2021-12-16 06:00:00,2021-12-16 07:00:00,3.012123
2021-12-16 07:00:00,2021-12-16 08:00:00,2.770231
2021-12-16 08:00:00,2021-12-16 09:00:00,2.834833
2021-12-16 09:00:00,2021-12-16 10:00:00,2.979378
2021-12-16 10:00:00,2021-12-16 11:00:00,3.836819
2021-12-16 11:00:00,2021-12-16 12:00:00,4.669
2021-12-16 12:00:00,2021-12-16 13:00:00,5.047847
2021-12-16 13:00:00,2021-12-16 14:00:00,5.28486
2021-12-16 14:00:00,2021-12-16 15:00:00,5.418278
2021-12-16 15:00:00,2021-12-16 16:00:00,5.432779
2021-12-16 16:00:00,2021-12-16 17:00:00,5.288179
2021-12-16 17:00:00,2021-12-16 18:00:00,5.122908
2021-12-16 18:00:00,2021-12-16 19:00:00,5.011429
2021-12-16 19:00:00,2021-12-16 20:00:00,4.714244
2021-12-16 20:00:00,2021-12-16 21:00:00,4.026611
2021-12-16 21:00:00,2021-12-16 22:00:00,3.283078
2021-12-16 22:00:00,2021-12-16 23:00:00,2.591625
2021-12-16 23:00:00,2021-12-17 00:00:00,2.095722
2021-12-17 00:00:00,2021-12-17 01:00:00,1.924124
2021-12-17 01:00:00,2021-12-17 02:00:00,1.787951
2021-12-17 02:00:00,2021-12-17 03:00:00,1.387035
2021-12-17 03:00:00,2021-12-17 04:00:00,1.194318
2021-12-17 04:00:00,2021-12-17 05:00:00,1.18947
2021-12-17 05:00:00,2021-12-17 06:00:00,1.119685
2021-12-17 06:00:00,2021-12-17 07:00:00,0.7257333
2021-12-17 07:00:00,2021-12-17 08:00:00,-0.03626944
2021-12-17 08:00:00,2021-12-17 09:00:00,0.2012986
2021-12-17 09:00:00,2021-12-17 10:00:00,0.6238763
2021-12-17 10:00:00,2021-12-17 11:00:00,1.924754
2021-12-17 11:00:00,2021-12-17 12:00:00,3.38024
2021-12-17 12:00:00,2021-12-17 13:00:00,5.401596
2021-12-17 13:00:00,2021-12-17 14:00:00,6.237943
2021-12-17 14:00:00,2021-12-17 15:00:00,6.159952
2021-12-17 15:00:00,2021-12-17 16:00:00,5.012086
2021-12-17 16:00:00,2021-12-17 17:00:00,3.799972
2021-12-17 17:00:00,2021-12-17 18:00:00,2.972321
2021-12-17 18:00:00,2021-12-17 19:00:00,2.539994
2021-12-17 19:00:00,2021-12-17 20:00:00,1.624903
2021-12-17 20:00:00,2021-12-17 21:00:00,0.4435389
2021-12-17 21:00:00,2021-12-17 22:00:00,0.7768194
2021-12-17 22:00:00,2021-12-17 23:00:00,0.5797027
2021-12-17 23:00:00,2021-12-18 00:00:00,0.3069264
2021-12-18 00:00:00,2021-12-18 01:00:00,-0.009719445
2021-12-18 01:00:00,2021-12-18 02:00:00,0.09973888
2021-12-18 02:00:00,2021-12-18 03:00:00,-0.02560278
2021-12-18 03:00:00,2021-12-18 04:00:00,-0.123975
2021-12-18 04:00:00,2021-12-18 05:00:00,-0.03139861
2021-12-18 05:00:00,2021-12-18 06:00:00,-0.3156083
2021-12-18 06:00:00,2021-12-18 07:00:00,-0.2927083
2021-12-18 07:00:00,2021-12-18 08:00:00,-0.1785416
2021-12-18 08:00:00,2021-12-18 09:00:00,-0.1998861
2021-12-18 09:00:00,2021-12-18 10:00:00,-0.1390611
2021-12-18 10:00:00,2021-12-18 11:00:00,-0.1706319
2021-12-18 11:00:00,2021-12-18 12:00:00,-0.06911389
2021-12-18 12:00:00,2021-12-18 13:00:00,0.2455792
2021-12-18 13:00:00,2021-12-18 14:00:00,0.6689347
2021-12-18 14:00:00,2021-12-18 15:00:00,1.229931
2021-12-18 15:00:00,2021-12-18 16:00:00,1.441371
2021-12-18 16:00:00,2021-12-18 17:00:00,1.00419
2021-12-18 17:00:00,2021-12-18 18:00:00,0.6379416
2021-12-18 18:00:00,2021-12-18 19:00:00,1.027882
2021-12-18 19:00:00,2021-12-18 20:00:00,1.5371
2021-12-18 20:00:00,2021-12-18 21:00:00,0.8516819
2021-12-18 21:00:00,2021-12-18 22:00:00,1.121936
2021-12-18 22:00:00,2021-12-18 23:00:00,1.151763
2021-12-18 23:00:00,2021-12-19 00:00:00,1.383579
2021-12-19 00:00:00,2021-12-19 01:00:00,1.561071
2021-12-19 01:00:00,2021-12-19 02:00:00,1.454881
2021-12-19 02:00:00,2021-12-19 03:00:00,1.33576
2021-12-19 03:00:00,2021-12-19 04:00:00,1.316461
2021-12-19 04:00:00,2021-12-19 05:00:00,1.040917
2021-12-19 05:00:00,2021-12-19 06:00:00,0.8826527
2021-12-19 06:00:00,2021-12-19 07:00:00,0.8508638
2021-12-19 07:00:00,2021-12-19 08:00:00,0.4609125
2021-12-19 08:00:00,2021-12-19 09:00:00,0.3855056
2021-12-19 09:00:00,2021-12-19 10:00:00,0.2517111
2021-12-19 10:00:00,2021-12-19 11:00:00,0.4101319
2021-12-19 11:00:00,2021-12-19 12:00:00,0.686057
2021-12-19 12:00:00,2021-12-19 13:00:00,0.9964555
2021-12-19 13:00:00,2021-12-19 14:00:00,1.222686
2021-12-19 14:00:00,2021-12-19 15:00:00,1.245533
2021-12-19 15:00:00,2021-12-19 16:00:00,1.015949
2021-12-19 16:00:00,2021-12-19 17:00:00,0.894143
2021-12-19 17:00:00,2021-12-19 18:00:00,0.6105916
2021-12-19 18:00:00,2021-12-19 19:00:00,0.4275361
2021-12-19 19:00:00,2021-12-19 20:00:00,0.2313819
2021-12-19 20:00:00,2021-12-19 21:00:00,0.1446333
2021-12-19 21:00:00,2021-12-19 22:00:00,0.06727639
2021-12-19 22:00:00,2021-12-19 23:00:00,-0.1120944
2021-12-19 23:00:00,2021-12-20 00:00:00,-0.01973055
2021-12-20 00:00:00,2021-12-20 01:00:00,-0.1122194
2021-12-20 01:00:00,2021-12-20 02:00:00,-0.3049042
2021-12-20 02:00:00,2021-12-20 03:00:00,-0.5235972
2021-12-20 03:00:00,2021-12-20 04:00:00,-0.4996139
2021-12-20 04:00:00,2021-12-20 05:00:00,-0.6154402
2021-12-20 05:00:00,2021-12-20 06:00:00,-0.8241569
2021-12-20 06:00:00,2021-12-20 07:00:00,-1.162219
2021-12-20 07:00:00,2021-12-20 08:00:00,-1.674708
2021-12-20 08:00:00,2021-12-20 09:00:00,-1.69844
2021-12-20 09:00:00,2021-12-20 10:00:00,-1.101175
2021-12-20 10:00:00,2021-12-20 11:00:00,0.1369764
2021-12-20 11:00:00,2021-12-20 12:00:00,1.657283
2021-12-20 12:00:00,2021-12-20 13:00:00,4.36119
2021-12-20 13:00:00,2021-12-20 14:00:00,5.600934
2021-12-20 14:00:00,2021-12-20 15:00:00,5.267094
2021-12-20 15:00:00,2021-12-20 16:00:00,4.35904
2021-12-20 16:00:00,2021-12-20 17:00:00,2.974407
2021-12-20 17:00:00,2021-12-20 18:00:00,1.545946
2021-12-20 18:00:00,2021-12-20 19:00:00,1.092433
2021-12-20 19:00:00,2021-12-20 20:00:00,1.602757
2021-12-20 20:00:00,2021-12-20 21:00:00,0.9451346
2021-12-20 21:00:00,2021-12-20 22:00:00,0.3321277
2021-12-20 22:00:00,2021-12-20 23:00:00,0.0663
2021-12-20 23:00:00,2021-12-21 00:00:00,0.120375
2021-12-21 00:00:00,2021-12-21 01:00:00,-0.629161
2021-12-21 01:00:00,2021-12-21 02:00:00,-1.29816
2021-12-21 02:00:00,2021-12-21 03:00:00,-1.888212
2021-12-21 03:00:00,2021-12-21 04:00:00,-2.663253
2021-12-21 04:00:00,2021-12-21 05:00:00,-3.954589
2021-12-21 05:00:00,2021-12-21 06:00:00,-4.560146
2021-12-21 06:00:00,2021-12-21 07:00:00,-4.774996
2021-12-21 07:00:00,2021-12-21 08:00:00,-4.951029
2021-12-21 08:00:00,2021-12-21 09:00:00,-4.75928
2021-12-21 09:00:00,2021-12-21 10:00:00,-4.39988
2021-12-21 10:00:00,2021-12-21 11:00:00,-4.021996
2021-12-21 11:00:00,2021-12-21 12:00:00,-3.682347
2021-12-21 12:00:00,2021-12-21 13:00:00,-2.918895
2021-12-21 13:00:00,2021-12-21 14:00:00,-2.680968
2021-12-21 14:00:00,2021-12-21 15:00:00,-2.625792
2021-12-21 15:00:00,2021-12-21 16:00:00,-2.559316
2021-12-21 16:00:00,2021-12-21 17:00:00,-2.360843
2021-12-21 17:00:00,2021-12-21 18:00:00,-2.227717
2021-12-21 18:00:00,2021-12-21 19:00:00,-2.289121
2021-12-21 19:00:00,2021-12-21 20:00:00,-2.502119
2021-12-21 20:00:00,2021-12-21 21:00:00,-2.687329
2021-12-21 21:00:00,2021-12-21 22:00:00,-2.883107
2021-12-21 22:00:00,2021-12-21 23:00:00,-3.308962
2021-12-21 23:00:00,2021-12-22 00:00:00,-4.252639
2021-12-22 00:00:00,2021-12-22 01:00:00,-4.641875
2021-12-22 01:00:00,2021-12-22 02:00:00,-4.861198
2021-12-22 02:00:00,2021-12-22 03:00:00,-5.037158
2021-12-22 03:00:00,2021-12-22 04:00:00,-5.058065
2021-12-22 04:00:00,2021-12-22 05:00:00,-5.47963
2021-12-22 05:00:00,2021-12-22 06:00:00,-5.769029
2021-12-22 06:00:00,2021-12-22 07:00:00,-5.902816
2021-12-22 07:00:00,2021-12-22 08:00:00,-6.254793
2021-12-22 08:00:00,2021-12-22 09:00:00,-6.327441
2021-12-22 09:00:00,2021-12-22 10:00:00,-5.532029
2021-12-22 10:00:00,2021-12-22 11:00:00,-4.291953
2021-12-22 11:00:00,2021-12-22 12:00:00,-2.537411
2021-12-22 12:00:00,2021-12-22 13:00:00,0.2736278
2021-12-22 13:00:00,2021-12-22 14:00:00,1.301586
2021-12-22 14:00:00,2021-12-22 15:00:00,1.275792
2021-12-22 15:00:00,2021-12-22 16:00:00,0.3592361
2021-12-22 16:00:00,2021-12-22 17:00:00,-0.5540236
2021-12-22 17:00:00,2021-12-22 18:00:00,-1.420919
2021-12-22 18:00:00,2021-12-22 19:00:00,-1.943715
2021-12-22 19:00:00,2021-12-22 20:00:00,-2.354265
2021-12-22 20:00:00,2021-12-22 21:00:00,-2.73825
2021-12-22 21:00:00,2021-12-22 22:00:00,-3.076847
2021-12-22 22:00:00,2021-12-22 23:00:00,-3.598304
2021-12-22 23:00:00,2021-12-23 00:00:00,-3.80959
2021-12-23 00:00:00,2021-12-23 01:00:00,-3.93782
2021-12-23 01:00:00,2021-12-23 02:00:00,-4.055744
2021-12-23 02:00:00,2021-12-23 03:00:00,-3.816582
2021-12-23 03:00:00,2021-12-23 04:00:00,-3.411068
2021-12-23 04:00:00,2021-12-23 05:00:00,-2.84879
2021-12-23 05:00:00,2021-12-23 06:00:00,-2.597128
2021-12-23 06:00:00,2021-12-23 07:00:00,-1.522255
2021-12-23 07:00:00,2021-12-23 08:00:00,0.08809166
2021-12-23 08:00:00,2021-12-23 09:00:00,0.2530069
2021-12-23 09:00:00,2021-12-23 10:00:00,1.686892
2021-12-23 10:00:00,2021-12-23 11:00:00,6.309369
2021-12-23 11:00:00,2021-12-23 12:00:00,7.550002
2021-12-23 12:00:00,2021-12-23 13:00:00,8.129131
2021-12-23 13:00:00,2021-12-23 14:00:00,10.54531
2021-12-23 14:00:00,2021-12-23 15:00:00,8.950989
2021-12-23 15:00:00,2021-12-23 16:00:00,8.759533
2021-12-23 16:00:00,2021-12-23 17:00:00,9.809066
2021-12-23 17:00:00,2021-12-23 18:00:00,9.554322
2021-12-23 18:00:00,2021-12-23 19:00:00,9.70368
2021-12-23 19:00:00,2021-12-23 20:00:00,10.40316
2021-12-23 20:00:00,2021-12-23 21:00:00,10.55715
2021-12-23 21:00:00,2021-12-23 22:00:00,11.28975
2021-12-23 22:00:00,2021-12-23 23:00:00,10.93794
2021-12-23 23:00:00,2021-12-24 00:00:00,10.57843
2021-12-24 00:00:00,2021-12-24 01:00:00,11.24919
2021-12-24 01:00:00,2021-12-24 02:00:00,10.98315
2021-12-24 02:00:00,2021-12-24 03:00:00,10.70231
2021-12-24 03:00:00,2021-12-24 04:00:00,10.68877
2021-12-24 04:00:00,2021-12-24 05:00:00,10.48115
2021-12-24 05:00:00,2021-12-24 06:00:00,10.4369
2021-12-24 06:00:00,2021-12-24 07:00:00,10.219
2021-12-24 07:00:00,2021-12-24 08:00:00,9.899338
2021-12-24 08:00:00,2021-12-24 09:00:00,9.273805
2021-12-24 09:00:00,2021-12-24 10:00:00,8.476546
2021-12-24 10:00:00,2021-12-24 11:00:00,8.447838
2021-12-24 11:00:00,2021-12-24 12:00:00,8.63411
2021-12-24 12:00:00,2021-12-24 13:00:00,9.068174
2021-12-24 13:00:00,2021-12-24 14:00:00,9.389134
2021-12-24 14:00:00,2021-12-24 15:00:00,9.490195
2021-12-24 15:00:00,2021-12-24 16:00:00,9.615567
2021-12-24 16:00:00,2021-12-24 17:00:00,9.926865
2021-12-24 17:00:00,2021-12-24 18:00:00,10.2006
2021-12-24 18:00:00,2021-12-24 19:00:00,10.43004
2021-12-24 19:00:00,2021-12-24 20:00:00,10.55779
2021-12-24 20:00:00,2021-12-24 21:00:00,10.47183
2021-12-24 21:00:00,2021-12-24 22:00:00,10.30634
2021-12-24 22:00:00,2021-12-24 23:00:00,10.28407
2021-12-24 23:00:00,2021-12-25 00:00:00,10.28245
2021-12-25 00:00:00,2021-12-25 01:00:00,10.33193
2021-12-25 01:00:00,2021-12-25 02:00:00,11.02393
2021-12-25 02:00:00,2021-12-25 03:00:00,11.32056
2021-12-25 03:00:00,2021-12-25 04:00:00,11.55356
2021-12-25 04:00:00,2021-12-25 05:00:00,11.38751
2021-12-25 05:00:00,2021-12-25 06:00:00,11.23739
2021-12-25 06:00:00,2021-12-25 07:00:00,11.06966
2021-12-25 07:00:00,2021-12-25 08:00:00,10.95294
2021-12-25 08:00:00,2021-12-25 09:00:00,10.8915
2021-12-25 09:00:00,2021-12-25 10:00:00,10.81904
2021-12-25 10:00:00,2021-12-25 11:00:00,10.79257
2021-12-25 11:00:00,2021-12-25 12:00:00,10.81364
2021-12-25 12:00:00,2021-12-25 13:00:00,10.90453
2021-12-25 13:00:00,2021-12-25 14:00:00,10.78736
2021-12-25 14:00:00,2021-12-25 15:00:00,10.84826
2021-12-25 15:00:00,2021-12-25 16:00:00,10.65051
2021-12-25 16:00:00,2021-12-25 17:00:00,10.46503
2021-12-25 17:00:00,2021-12-25 18:00:00,10.02367
2021-12-25 18:00:00,2021-12-25 19:00:00,9.661054
2021-12-25 19:00:00,2021-12-25 20:00:00,9.401084
2021-12-25 20:00:00,2021-12-25 21:00:00,8.945485
2021-12-25 21:00:00,2021-12-25 22:00:00,8.658071
2021-12-25 22:00:00,2021-12-25 23:00:00,8.499242
2021-12-25 23:00:00,2021-12-26 00:00:00,8.305933
2021-12-26 00:00:00,2021-12-26 01:00:00,7.849955
2021-12-26 01:00:00,2021-12-26 02:00:00,6.460174
2021-12-26 02:00:00,2021-12-26 03:00:00,5.41651
2021-12-26 03:00:00,2021-12-26 04:00:00,4.936229
2021-12-26 04:00:00,2021-12-26 05:00:00,4.640092
2021-12-26 05:00:00,2021-12-26 06:00:00,4.576326
2021-12-26 06:00:00,2021-12-26 07:00:00,4.490587
2021-12-26 07:00:00,2021-12-26 08:00:00,4.343597
2021-12-26 08:00:00,2021-12-26 09:00:00,4.444386
2021-12-26 09:00:00,2021-12-26 10:00:00,4.515358
2021-12-26 10:00:00,2021-12-26 11:00:00,4.946084
2021-12-26 11:00:00,2021-12-26 12:00:00,5.55166
2021-12-26 12:00:00,2021-12-26 13:00:00,5.921226
2021-12-26 13:00:00,2021-12-26 14:00:00,6.59685
2021-12-26 14:00:00,2021-12-26 15:00:00,7.244104
2021-12-26 15:00:00,2021-12-26 16:00:00,7.917132
2021-12-26 16:00:00,2021-12-26 17:00:00,8.53559
2021-12-26 17:00:00,2021-12-26 18:00:00,8.555747
2021-12-26 18:00:00,2021-12-26 19:00:00,8.541617
2021-12-26 19:00:00,2021-12-26 20:00:00,8.42048
2021-12-26 20:00:00,2021-12-26 21:00:00,8.377811
2021-12-26 21:00:00,2021-12-26 22:00:00,8.561315
2021-12-26 22:00:00,2021-12-26 23:00:00,8.650965
2021-12-26 23:00:00,2021-12-27 00:00:00,8.563561
2021-12-27 00:00:00,2021-12-27 01:00:00,8.564133
2021-12-27 01:00:00,2021-12-27 02:00:00,8.774536
2021-12-27 02:00:00,2021-12-27 03:00:00,8.779257
2021-12-27 03:00:00,2021-12-27 04:00:00,8.462022
2021-12-27 04:00:00,2021-12-27 05:00:00,7.614895
2021-12-27 05:00:00,2021-12-27 06:00:00,7.535352
2021-12-27 06:00:00,2021-12-27 07:00:00,7.455883
2021-12-27 07:00:00,2021-12-27 08:00:00,6.785261
2021-12-27 08:00:00,2021-12-27 09:00:00,6.266726
