Tag;Stunde;AVG_RH200;AVG_TA200;AVG_TB005;AVG_WV200;SUM_GS200;SUM_NN050
12.12.2021;00:00;100,00;1,63;4,84;,30;,00;,00
12.12.2021;01:00;100,00;1,16;4,81;,30;,00;,00
12.12.2021;02:00;100,00;,62;4,78;,30;,00;,00
12.12.2021;03:00;100,00;,28;4,74;,30;,00;,00
12.12.2021;04:00;100,00;-,13;4,68;,30;,00;,00
12.12.2021;05:00;100,00;-,42;4,62;,30;,00;,00
12.12.2021;06:00;100,00;-,62;4,55;,30;,00;,00
12.12.2021;07:00;100,00;-,62;4,47;,30;,00;,00
12.12.2021;08:00;99,33;-,12;4,40;,30;12,52;,00
12.12.2021;09:00;96,00;,70;4,32;,33;70,23;,00
12.12.2021;10:00;94,50;1,34;4,25;,41;119,50;,00
12.12.2021;11:00;91,83;2,11;4,21;,59;130,87;,00
12.12.2021;12:00;89,33;2,58;4,20;,59;117,02;,00
12.12.2021;13:00;86,17;4,13;4,22;,42;137,03;,00
12.12.2021;14:00;84,67;4,97;4,27;,64;71,68;,00
12.12.2021;15:00;85,83;5,41;4,34;,23;36,63;,00
12.12.2021;16:00;88,33;5,37;4,43;,32;11,92;,00
12.12.2021;17:00;88,50;4,93;4,51;,44;,00;,00
12.12.2021;18:00;89,67;4,34;4,58;,39;,00;,00
12.12.2021;19:00;87,83;4,31;4,64;,49;,00;,00
12.12.2021;20:00;88,83;4,23;4,68;,48;,00;,00
12.12.2021;21:00;90,00;4,35;4,71;,63;,00;,00
12.12.2021;22:00;91,33;4,14;4,74;,43;,00;,00
12.12.2021;23:00;91,67;4,28;4,77;,44;,00;,00
13.12.2021;00:00;92,67;4,34;4,79;,33;,00;,00
13.12.2021;01:00;93,17;4,36;4,81;,39;,00;,00
13.12.2021;02:00;93,50;4,14;4,83;,28;,00;,00
13.12.2021;03:00;91,00;3,60;4,85;,38;,00;,00
13.12.2021;04:00;90,17;3,01;4,87;,51;,00;,00
13.12.2021;05:00;94,17;2,46;4,88;1,00;,00;,00
13.12.2021;06:00;96,83;2,16;4,88;1,00;,00;,00
13.12.2021;07:00;98,50;2,08;4,86;1,00;,00;,00
13.12.2021;08:00;98,83;1,82;4,82;1,00;,00;,00
13.12.2021;09:00;97,83;2,00;4,77;,48;40,87;,00
13.12.2021;10:00;81,33;4,07;4,72;,09;201,50;,00
13.12.2021;11:00;75,17;5,25;4,67;,55;279,82;,00
13.12.2021;12:00;72,17;6,54;4,65;,69;294,20;,00
13.12.2021;13:00;70,67;7,80;4,67;,84;272,03;,00
13.12.2021;14:00;71,33;8,36;4,74;,95;205,75;,00
13.12.2021;15:00;71,67;8,23;4,86;,70;106,28;,00
13.12.2021;16:00;83,00;6,77;4,99;,68;,00;,00
13.12.2021;17:00;91,00;5,14;5,12;,53;,00;,00
13.12.2021;18:00;95,83;3,72;5,20;,41;,00;,00
13.12.2021;19:00;98,50;3,12;5,23;,21;,00;,00
13.12.2021;20:00;98,67;2,73;5,21;,13;,00;,00
13.12.2021;21:00;99,50;1,98;5,16;,00;,00;,00
13.12.2021;22:00;99,83;2,11;5,10;,00;,00;,00
13.12.2021;23:00;100,00;1,65;5,03;,00;,00;,00
14.12.2021;00:00;100,00;1,16;4,95;,00;,00;,00
14.12.2021;01:00;100,00;,89;4,87;,00;,00;,00
14.12.2021;02:00;100,00;,66;4,78;,00;,00;,00
14.12.2021;03:00;100,00;,49;4,70;,00;,00;,00
14.12.2021;04:00;100,00;-,14;4,61;,00;,00;,00
14.12.2021;05:00;100,00;,25;4,53;,00;,00;,00
14.12.2021;06:00;100,00;1,01;4,45;,00;,00;,00
14.12.2021;07:00;100,00;1,47;4,39;,00;,00;,00
14.12.2021;08:00;100,00;1,58;4,35;,00;,00;,00
14.12.2021;09:00;100,00;1,89;4,33;,19;43,22;,00
14.12.2021;10:00;100,00;2,51;4,32;,49;103,78;,00
14.12.2021;11:00;100,00;3,14;4,32;,80;161,43;,00
14.12.2021;12:00;100,00;2,28;4,35;,75;118,18;,00
14.12.2021;13:00;100,00;3,00;4,40;,60;121,85;,00
14.12.2021;14:00;100,00;3,40;4,46;,54;88,95;,00
14.12.2021;15:00;99,33;3,94;4,53;,46;83,12;,00
14.12.2021;16:00;100,00;3,54;4,61;,33;10,90;,00
14.12.2021;17:00;100,00;3,35;4,68;,22;,00;,00
14.12.2021;18:00;100,00;3,34;4,73;,16;,00;,00
14.12.2021;19:00;100,00;2,88;4,76;,59;,00;,00
14.12.2021;20:00;100,00;2,62;4,79;,54;,00;,00
14.12.2021;21:00;100,00;2,22;4,80;,60;,00;,00
14.12.2021;22:00;100,00;2,35;4,82;,47;,00;,00
14.12.2021;23:00;100,00;2,40;4,82;,38;,00;,00
15.12.2021;00:00;100,00;2,60;4,82;,46;,00;,00
15.12.2021;01:00;100,00;2,70;4,83;,39;,00;,00
15.12.2021;02:00;100,00;2,64;4,83;,40;,00;,00
15.12.2021;03:00;100,00;2,50;4,83;,40;,00;,00
15.12.2021;04:00;100,00;2,58;4,84;,07;,00;,00
15.12.2021;05:00;100,00;2,64;4,84;,22;,00;,00
15.12.2021;06:00;100,00;2,69;4,84;,21;,00;,00
15.12.2021;07:00;100,00;2,63;4,85;,28;,00;,00
15.12.2021;08:00;100,00;2,27;4,86;,40;,00;,00
15.12.2021;09:00;100,00;2,14;4,86;,47;17,60;,00
15.12.2021;10:00;100,00;2,78;4,87;,33;29,22;,00
15.12.2021;11:00;99,50;3,12;4,87;,36;47,18;,00
15.12.2021;12:00;98,17;3,64;4,88;,47;47,97;,00
15.12.2021;13:00;98,00;3,97;4,90;,40;36,93;,00
15.12.2021;14:00;99,17;3,87;4,93;,81;21,85;,00
15.12.2021;15:00;100,00;3,73;4,96;,95;10,47;,00
15.12.2021;16:00;100,00;3,89;4,99;,54;,00;,00
15.12.2021;17:00;100,00;3,91;5,02;,49;,00;,00
15.12.2021;18:00;98,83;3,86;5,05;,56;,00;,00
15.12.2021;19:00;99,00;3,91;5,07;,18;,00;,00
15.12.2021;20:00;98,00;3,78;5,08;,87;,00;,00
15.12.2021;21:00;97,83;3,61;5,09;,43;,00;,00
15.12.2021;22:00;98,00;3,55;5,10;1,03;,00;,00
15.12.2021;23:00;98,00;3,60;5,11;,46;,00;,00
16.12.2021;00:00;98,00;3,49;5,12;,92;,00;,00
16.12.2021;01:00;98,00;3,42;5,12;,38;,00;,00
16.12.2021;02:00;96,67;3,37;5,12;,65;,00;,00
16.12.2021;03:00;95,17;3,19;5,13;,87;,00;,00
16.12.2021;04:00;94,33;2,85;5,13;1,21;,00;,00
16.12.2021;05:00;92,50;2,68;5,12;1,30;,00;,00
16.12.2021;06:00;93,17;2,59;5,11;1,30;,00;,00
16.12.2021;07:00;92,67;2,19;5,10;1,30;,00;,00
16.12.2021;08:00;91,50;2,16;5,08;1,05;,00;,00
16.12.2021;09:00;92,83;3,04;5,05;,50;58,10;,00
16.12.2021;10:00;91,00;3,71;5,02;,33;83,83;,00
16.12.2021;11:00;88,00;4,25;5,01;,65;126,57;,00
16.12.2021;12:00;89,67;4,46;5,03;,79;95,35;,00
16.12.2021;13:00;89,50;4,79;5,07;,78;75,90;,00
16.12.2021;14:00;88,00;5,00;5,12;,60;62,02;,00
16.12.2021;15:00;89,50;5,04;5,17;,59;32,43;,00
16.12.2021;16:00;90,67;4,96;5,23;,75;,00;,00
16.12.2021;17:00;93,00;4,70;5,27;,35;,00;,00
16.12.2021;18:00;95,00;4,39;5,31;,12;,00;,00
16.12.2021;19:00;97,67;3,34;5,33;,57;,00;,00
16.12.2021;20:00;99,17;2,63;5,33;,50;,00;,00
16.12.2021;21:00;100,00;1,96;5,32;,50;,00;,00
16.12.2021;22:00;100,00;1,53;5,28;,50;,00;,00
16.12.2021;23:00;100,00;1,09;5,22;,50;,00;,00
17.12.2021;00:00;100,00;,97;5,15;,50;,00;,00
17.12.2021;01:00;100,00;,73;5,07;,50;,00;,00
17.12.2021;02:00;99,00;1,53;4,99;,50;,00;,00
17.12.2021;03:00;99,17;,70;4,90;,50;,00;,00
17.12.2021;04:00;100,00;,85;4,82;,50;,00;,00
17.12.2021;05:00;100,00;,49;4,74;,50;,00;,00
17.12.2021;06:00;100,00;-,41;4,66;,50;,00;,00
17.12.2021;07:00;100,00;-1,49;4,58;,50;,00;,00
17.12.2021;08:00;100,00;-,54;4,49;,50;,00;,00
17.12.2021;09:00;100,00;-,39;4,41;,50;32,35;,00
17.12.2021;10:00;100,00;,44;4,33;,31;96,57;,00
17.12.2021;11:00;92,67;2,18;4,25;,29;241,40;,00
17.12.2021;12:00;88,00;3,56;4,20;,82;290,98;,00
17.12.2021;13:00;87,67;3,66;4,20;,77;248,58;,00
17.12.2021;14:00;85,17;4,46;4,24;,79;209,00;,00
17.12.2021;15:00;86,83;4,68;4,33;,84;111,58;,00
17.12.2021;16:00;97,33;2,85;4,45;,54;,00;,00
17.12.2021;17:00;100,00;1,02;4,55;,00;,00;,00
17.12.2021;18:00;100,00;,35;4,62;,00;,00;,00
17.12.2021;19:00;100,00;-,37;4,63;,00;,00;,00
17.12.2021;20:00;100,00;-,94;4,60;,00;,00;,00
17.12.2021;21:00;100,00;-,79;4,55;,00;,00;,00
17.12.2021;22:00;100,00;-,38;4,48;,00;,00;,00
17.12.2021;23:00;100,00;-1,01;4,40;,00;,00;,00
18.12.2021;00:00;100,00;-1,83;4,33;,00;,00;,00
18.12.2021;01:00;100,00;-1,86;4,25;,00;,00;,00
18.12.2021;02:00;100,00;-1,34;4,17;,00;,00;,00
18.12.2021;03:00;100,00;-1,29;4,09;,00;,00;,00
18.12.2021;04:00;100,00;-,93;4,03;,00;,00;,00
18.12.2021;05:00;100,00;-,95;3,97;,00;,00;,00
18.12.2021;06:00;100,00;-,83;3,92;,00;,00;,00
18.12.2021;07:00;100,00;-,67;3,88;,00;,00;,00
18.12.2021;08:00;100,00;-,79;3,86;,00;,00;,00
18.12.2021;09:00;100,00;-,85;3,83;,00;16,75;,00
18.12.2021;10:00;100,00;-,66;3,81;,00;28,28;,00
18.12.2021;11:00;100,00;-,68;3,80;,00;50,08;,00
18.12.2021;12:00;100,00;-,40;3,79;,39;73,15;,00
18.12.2021;13:00;100,00;,09;3,80;,75;55,90;,00
18.12.2021;14:00;100,00;,64;3,82;,00;48,57;,00
18.12.2021;15:00;100,00;1,03;3,84;,00;34,28;,00
18.12.2021;16:00;100,00;,81;3,87;,00;,00;,00
18.12.2021;17:00;100,00;,39;3,91;,00;,00;,00
18.12.2021;18:00;100,00;1,10;3,93;,00;,00;,00
18.12.2021;19:00;100,00;1,70;3,94;,00;,00;,00
18.12.2021;20:00;100,00;1,51;3,96;,00;,00;,00
18.12.2021;21:00;100,00;1,33;3,97;,00;,00;,00
18.12.2021;22:00;100,00;,69;3,98;,00;,00;,00
18.12.2021;23:00;100,00;,72;3,99;,00;,00;,00
19.12.2021;00:00;99,33;,86;4,00;,00;,00;,00
19.12.2021;01:00;98,83;,96;4,01;,00;,00;,00
19.12.2021;02:00;98,50;,94;4,02;,00;,00;,00
19.12.2021;03:00;97,83;,82;4,02;,00;,00;,00
19.12.2021;04:00;97,17;,56;4,02;,00;,00;,00
19.12.2021;05:00;97,00;,38;4,02;,00;,00;,00
19.12.2021;06:00;97,67;,29;4,01;,00;,00;,00
19.12.2021;07:00;96,17;-,08;4,01;,00;,00;,00
19.12.2021;08:00;96,33;-,18;4,00;,00;,00;,00
19.12.2021;09:00;96,33;-,20;3,99;,00;19,37;,00
19.12.2021;10:00;95,17;-,17;3,97;,00;39,40;,00
19.12.2021;11:00;96,00;,16;3,96;,17;57,33;,00
19.12.2021;12:00;95,83;,33;3,95;,73;65,25;,00
19.12.2021;13:00;94,33;,68;3,96;,49;73,57;,00
19.12.2021;14:00;93,50;,69;3,97;,81;57,75;,00
19.12.2021;15:00;95,83;,55;4,00;,49;24,55;,00
19.12.2021;16:00;97,33;,37;4,02;,40;,00;,00
19.12.2021;17:00;98,00;,08;4,04;,40;,00;,00
19.12.2021;18:00;99,33;-,22;4,05;,40;,00;,00
19.12.2021;19:00;100,00;-,40;4,05;,40;,00;,00
19.12.2021;20:00;100,00;-,51;4,04;,40;,00;,00
19.12.2021;21:00;100,00;-,49;4,03;,40;,00;,00
19.12.2021;22:00;100,00;-,60;4,01;,40;,00;,00
19.12.2021;23:00;100,00;-,65;3,99;,40;,00;,00
20.12.2021;00:00;100,00;-,65;3,97;,40;,00;,00
20.12.2021;01:00;100,00;-,76;3,95;,40;,00;,00
20.12.2021;02:00;100,00;-1,06;3,93;,40;,00;,00
20.12.2021;03:00;100,00;-,98;3,91;,40;,00;,00
20.12.2021;04:00;99,50;-1,14;3,89;,40;,00;,00
20.12.2021;05:00;98,00;-1,08;3,87;,40;,00;,00
20.12.2021;06:00;97,33;-1,91;3,84;,40;,00;,00
20.12.2021;07:00;98,17;-2,37;3,82;,40;,00;,00
20.12.2021;08:00;99,00;-2,22;3,78;,40;,00;,00
20.12.2021;09:00;95,67;-1,16;3,73;,34;72,18;,00
20.12.2021;10:00;81,33;,47;3,67;,49;235,47;,00
20.12.2021;11:00;72,50;1,72;3,63;,43;287,18;,00
20.12.2021;12:00;72,33;2,80;3,60;,61;311,87;,00
20.12.2021;13:00;71,17;3,51;3,62;,91;285,85;,00
20.12.2021;14:00;76,17;3,89;3,67;1,22;227,40;,00
20.12.2021;15:00;79,33;3,95;3,77;1,18;118,65;,00
20.12.2021;16:00;92,83;2,16;3,88;1,18;10,03;,00
20.12.2021;17:00;96,17;,70;3,98;1,20;,00;,00
20.12.2021;18:00;97,50;-,02;4,04;1,20;,00;,00
20.12.2021;19:00;96,50;-,38;4,03;1,20;,00;,00
20.12.2021;20:00;93,33;-,36;3,99;1,20;,00;,00
20.12.2021;21:00;87,83;-,09;3,92;1,20;,00;,00
20.12.2021;22:00;92,67;-1,12;3,84;1,20;,00;,00
20.12.2021;23:00;92,33;-1,44;3,76;1,20;,00;,00
21.12.2021;00:00;94,17;-2,00;3,67;1,20;,00;,00
21.12.2021;01:00;96,67;-2,69;3,57;1,20;,00;,00
21.12.2021;02:00;98,33;-3,06;3,48;1,20;,00;,00
21.12.2021;03:00;98,83;-4,23;3,39;1,20;,00;,00
21.12.2021;04:00;99,83;-5,54;3,31;1,20;,00;,00
21.12.2021;05:00;100,00;-5,68;3,22;1,20;,00;,00
21.12.2021;06:00;99,17;-5,97;3,14;1,20;,00;,00
21.12.2021;07:00;98,83;-5,98;3,07;1,20;,00;,00
21.12.2021;08:00;98,83;-6,34;3,00;1,20;,00;,00
21.12.2021;09:00;98,17;-5,97;2,93;1,20;34,27;,00
21.12.2021;10:00;98,67;-5,01;2,87;1,20;77,23;,00
21.12.2021;11:00;99,33;-4,17;2,81;1,20;70,12;,00
21.12.2021;12:00;99,83;-3,67;2,76;1,20;75,65;,00
21.12.2021;13:00;100,00;-3,23;2,72;1,20;67,10;,00
21.12.2021;14:00;100,00;-3,07;2,68;,40;38,33;,00
21.12.2021;15:00;100,00;-3,04;2,64;,00;17,32;,00
21.12.2021;16:00;100,00;-2,84;2,62;,00;,00;,00
21.12.2021;17:00;100,00;-2,95;2,59;,00;,00;,00
21.12.2021;18:00;100,00;-3,10;2,57;,00;,00;,00
21.12.2021;19:00;100,00;-3,30;2,55;,00;,00;,00
21.12.2021;20:00;100,00;-3,50;2,53;,00;,00;,00
21.12.2021;21:00;100,00;-3,74;2,52;,00;,00;,00
21.12.2021;22:00;99,83;-4,03;2,50;,00;,00;,00
21.12.2021;23:00;99,00;-5,10;2,48;,00;,00;,00
22.12.2021;00:00;99,33;-5,54;2,47;,00;,00;,00
22.12.2021;01:00;98,33;-5,91;2,45;,00;,00;,00
22.12.2021;02:00;98,00;-6,43;2,42;,00;,00;,00
22.12.2021;03:00;98,00;-6,68;2,40;,00;,00;,00
22.12.2021;04:00;98,00;-6,76;2,37;,00;,00;,00
22.12.2021;05:00;98,17;-6,82;2,34;,00;,00;,00
22.12.2021;06:00;98,00;-7,47;2,31;,00;,00;,00
22.12.2021;07:00;98,00;-7,52;2,28;,00;,00;,00
22.12.2021;08:00;98,00;-7,67;2,25;,00;,00;,00
22.12.2021;09:00;97,50;-7,23;2,22;,00;30,47;,00
22.12.2021;10:00;91,50;-5,47;2,19;,18;178,13;,00
22.12.2021;11:00;82,33;-3,41;2,16;,20;250,25;,00
22.12.2021;12:00;78,50;-1,57;2,14;,56;344,52;,00
22.12.2021;13:00;81,17;-,89;2,11;,94;369,50;,00
22.12.2021;14:00;76,50;-,31;2,10;,87;300,73;,00
22.12.2021;15:00;76,00;-,11;2,08;,75;177,37;,00
22.12.2021;16:00;85,67;-1,11;2,07;,80;10,95;,00
22.12.2021;17:00;92,33;-2,31;2,06;,80;,00;,00
22.12.2021;18:00;95,33;-3,09;2,05;,80;,00;,00
22.12.2021;19:00;95,67;-3,57;2,04;,80;,00;,00
22.12.2021;20:00;95,67;-3,76;2,03;,80;,00;,00
22.12.2021;21:00;97,67;-4,45;2,02;,80;,00;,00
22.12.2021;22:00;97,50;-4,46;2,01;,80;,00;,00
22.12.2021;23:00;98,00;-4,84;2,00;,80;,00;,00
23.12.2021;00:00;97,17;-4,89;1,98;,80;,00;,00
23.12.2021;01:00;98,00;-4,75;1,97;,80;,00;,00
23.12.2021;02:00;97,67;-4,81;1,95;,80;,00;,00
23.12.2021;03:00;97,83;-4,58;1,93;,80;,00;,00
23.12.2021;04:00;97,33;-4,20;1,92;,80;,00;,00
23.12.2021;05:00;97,00;-4,04;1,90;,80;,00;,00
23.12.2021;06:00;97,33;-3,85;1,88;,80;,00;,00
23.12.2021;07:00;91,33;-1,62;1,87;,80;,00;,00
23.12.2021;08:00;86,00;,42;1,85;,80;,00;,00
23.12.2021;09:00;73,17;2,84;1,84;1,31;34,02;,00
23.12.2021;10:00;56,67;6,35;1,82;2,93;65,58;,00
23.12.2021;11:00;53,00;7,47;1,81;2,24;89,05;,00
23.12.2021;12:00;52,00;7,53;1,81;2,33;179,98;,00
23.12.2021;13:00;45,00;10,21;1,80;3,16;121,50;,00
23.12.2021;14:00;51,17;8,30;1,80;2,73;37,85;,00
23.12.2021;15:00;52,67;8,39;1,80;3,16;15,93;,00
23.12.2021;16:00;53,67;9,26;1,81;2,96;,00;,00
23.12.2021;17:00;56,33;9,05;1,84;2,58;,00;,00
23.12.2021;18:00;54,83;9,07;1,87;3,08;,00;,00
23.12.2021;19:00;56,33;9,65;1,93;3,11;,00;,00
23.12.2021;20:00;58,33;9,88;2,01;4,59;,00;,00
23.12.2021;21:00;57,67;10,98;2,12;4,44;,00;,00
23.12.2021;22:00;61,50;10,32;2,27;3,72;,00;,00
23.12.2021;23:00;62,83;10,17;2,43;3,67;,00;,00
24.12.2021;00:00;60,50;11,03;2,60;3,71;,00;,00
24.12.2021;01:00;63,67;10,74;2,76;4,07;,00;,00
24.12.2021;02:00;66,67;10,40;2,92;4,44;,00;,00
24.12.2021;03:00;67,33;10,41;3,08;4,23;,00;,00
24.12.2021;04:00;68,33;10,15;3,24;3,82;,00;,00
24.12.2021;05:00;70,50;10,14;3,39;4,40;,00;,00
24.12.2021;06:00;73,17;9,88;3,52;4,03;,00;,00
24.12.2021;07:00;76,67;9,52;3,66;4,06;,00;,10
24.12.2021;08:00;84,67;8,84;3,78;3,53;,00;,90
24.12.2021;09:00;93,50;8,04;3,90;3,37;,00;2,80
24.12.2021;10:00;95,17;8,10;4,00;2,90;15,17;3,80
24.12.2021;11:00;94,67;8,35;4,12;2,91;51,45;1,90
24.12.2021;12:00;93,50;8,77;4,23;3,04;41,05;,50
24.12.2021;13:00;91,83;9,14;4,34;2,93;37,40;,40
24.12.2021;14:00;93,50;9,18;4,45;2,16;18,15;,30
24.12.2021;15:00;91,17;9,39;4,55;2,50;14,50;,20
24.12.2021;16:00;89,17;9,66;4,65;2,52;,00;,00
24.12.2021;17:00;87,83;9,97;4,74;3,00;,00;,00
24.12.2021;18:00;88,83;10,15;4,83;3,04;,00;,00
24.12.2021;19:00;88,67;10,31;4,91;2,91;,00;,00
24.12.2021;20:00;90,83;10,09;4,99;2,52;,00;,30
24.12.2021;21:00;92,33;9,94;5,08;2,09;,00;,40
24.12.2021;22:00;89,83;10,11;5,16;2,22;,00;,00
24.12.2021;23:00;89,33;9,94;5,23;1,65;,00;,00
25.12.2021;00:00;85,00;10,23;5,29;2,04;,00;,00
25.12.2021;01:00;80,83;10,67;5,35;2,85;,00;,00
25.12.2021;02:00;79,33;11,04;5,40;3,26;,00;,00
25.12.2021;03:00;78,83;11,20;5,45;3,36;,00;,00
25.12.2021;04:00;80,00;11,04;5,50;3,66;,00;,00
25.12.2021;05:00;82,00;10,92;5,56;3,19;,00;,00
25.12.2021;06:00;84,50;10,78;5,62;3,18;,00;,00
25.12.2021;07:00;86,50;10,70;5,67;2,92;,00;,00
25.12.2021;08:00;86,67;10,70;5,73;3,01;,00;,00
25.12.2021;09:00;84,67;10,79;5,79;1,93;32,22;,00
25.12.2021;10:00;84,50;10,81;5,84;,78;46,52;,00
25.12.2021;11:00;87,83;10,52;5,89;,76;97,65;,00
25.12.2021;12:00;89,17;10,49;5,95;1,39;116,17;,00
25.12.2021;13:00;89,00;10,31;6,00;1,02;92,07;,00
25.12.2021;14:00;87,83;10,48;6,07;,55;86,22;,00
25.12.2021;15:00;88,67;10,33;6,14;,57;45,03;,00
25.12.2021;16:00;92,67;9,75;6,21;,37;,00;,00
25.12.2021;17:00;95,00;9,15;6,26;,18;,00;,00
25.12.2021;18:00;96,83;8,76;6,29;,06;,00;,00
25.12.2021;19:00;97,33;8,55;6,31;,24;,00;,00
25.12.2021;20:00;99,00;8,29;6,31;,23;,00;,10
25.12.2021;21:00;100,00;8,08;6,30;,25;,00;,00
25.12.2021;22:00;100,00;8,13;6,29;,36;,00;,10
25.12.2021;23:00;100,00;7,84;6,28;,32;,00;,20
26.12.2021;00:00;100,00;7,47;6,27;,61;,00;,40
26.12.2021;01:00;100,00;5,83;6,26;,95;,00;,50
26.12.2021;02:00;100,00;4,63;6,26;,94;,00;,30
26.12.2021;03:00;100,00;4,05;6,24;,79;,00;,00
26.12.2021;04:00;100,00;3,89;6,21;,64;,00;,20
26.12.2021;05:00;100,00;3,75;6,17;,65;,00;,20
26.12.2021;06:00;100,00;3,66;6,13;,53;,00;,30
26.12.2021;07:00;100,00;3,61;6,08;,22;,00;,60
26.12.2021;08:00;100,00;3,76;6,03;,32;,00;,30
26.12.2021;09:00;100,00;3,89;5,98;,28;24,90;,00
26.12.2021;10:00;100,00;4,39;5,94;,41;89,50;,00
26.12.2021;11:00;100,00;4,84;5,90;,52;82,17;,00
26.12.2021;12:00;100,00;5,12;5,89;,55;104,68;,00
26.12.2021;13:00;100,00;5,95;5,89;,37;61,33;,00
26.12.2021;14:00;100,00;6,48;5,91;,30;56,75;,30
26.12.2021;15:00;99,83;7,17;5,93;,43;34,70;,40
26.12.2021;16:00;98,00;8,01;5,96;,65;,00;,60
26.12.2021;17:00;98,17;8,47;6,00;,60;,00;,20
26.12.2021;18:00;97,67;8,80;6,03;,82;,00;,80
26.12.2021;19:00;96,33;8,79;6,07;1,14;,00;,40
26.12.2021;20:00;95,67;8,82;6,10;,65;,00;,30
26.12.2021;21:00;96,50;8,57;6,13;1,45;,00;1,10
26.12.2021;22:00;95,67;8,32;6,15;1,53;,00;,20
26.12.2021;23:00;94,67;8,26;6,18;1,26;,00;,00
27.12.2021;00:00;93,67;8,42;6,20;1,70;,00;,00
27.12.2021;01:00;94,00;8,55;6,22;2,08;,00;,40
27.12.2021;02:00;93,33;8,52;6,23;1,39;,00;,10
27.12.2021;03:00;93,83;8,35;6,24;1,03;,00;,20
27.12.2021;04:00;95,50;7,60;6,26;,69;,00;,00
27.12.2021;05:00;98,50;7,10;6,27;,59;,00;,00
27.12.2021;06:00;95,00;7,79;6,27;,74;,00;,00
27.12.2021;07:00;97,50;6,85;6,27;,78;,00;,00
27.12.2021;08:00;98,33;5,79;6,25;,51;,00;,00
27.12.2021;09:00;98,67;5,45;6,23;,53;37,03;,00
